
Season,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK
1955-56,35.3,91.4,,,28.4,38,,,60.1,24.3,,
1954-55,33.3,86.4,,,26.5,35.9,,,56.1,23.6,,
1953-54,28.1,75.4,,,23.4,33,,,50.9,20.3,,
1952-53,28.5,77.1,,,25.7,35.9,,,51.5,21,,
1951-52,29.6,80.8,,,24.4,33.2,,,54.5,21.9,,
1950-51,29.8,83.6,,,24.5,33.4,,,49.5,21,,
1949-50,28.2,83.1,,,23.6,33,,,,19.6,,
1948-49,29,88.7,,,22,31.3,,,,18.6,,
1947-48,27.2,96,,,18.2,27,,,,7,,
1946-47,25.9,92.9,,,15.9,24.8,,,,6.9,,
